"num","Var","Source","Category","Type.of.variable","Keyword","Event","Sentiment"
1,"b.1","bloom","event","dummy","Change in Nonfarm Payrolls","Change in Nonfarm Payrolls",NA
2,"b.2","bloom","event","dummy","Initial Jobless Claims","Initial Jobless Claims",NA
3,"b.3","bloom","event","dummy","FOMC Rate Decision (Upper Bound)","FOMC Rate Decision (Upper Bound)",NA
4,"b.4","bloom","event","dummy","GDP Annualized QoQ","GDP Annualized QoQ",NA
5,"b.5","bloom","event","dummy","CPI MoM","CPI MoM",NA
6,"b.6","bloom","event","dummy","ISM Manufacturing","ISM Manufacturing",NA
7,"b.7","bloom","event","dummy","U. of Mich. Sentiment","U. of Mich. Sentiment",NA
8,"b.8","bloom","event","dummy","Conf. Board Consumer Confidence","Conf. Board Consumer Confidence",NA
9,"b.9","bloom","event","dummy","Retail Sales Advance MoM","Retail Sales Advance MoM",NA
10,"b.10","bloom","event","dummy","Durable Goods Orders","Durable Goods Orders",NA
11,"e.1","bloom","att","#ests","Change in Nonfarm Payrolls","Change in Nonfarm Payrolls",NA
12,"e.2","bloom","att","#ests","Initial Jobless Claims","Initial Jobless Claims",NA
13,"e.3","bloom","att","#ests","FOMC Rate Decision (Upper Bound)","FOMC Rate Decision (Upper Bound)",NA
14,"e.4","bloom","att","#ests","GDP Annualized QoQ","GDP Annualized QoQ",NA
15,"e.5","bloom","att","#ests","CPI MoM","CPI MoM",NA
16,"e.6","bloom","att","#ests","ISM Manufacturing","ISM Manufacturing",NA
17,"e.7","bloom","att","#ests","U. of Mich. Sentiment","U. of Mich. Sentiment",NA
18,"e.8","bloom","att","#ests","Conf. Board Consumer Confidence","Conf. Board Consumer Confidence",NA
19,"e.9","bloom","att","#ests","Retail Sales Advance MoM","Retail Sales Advance MoM",NA
20,"e.10","bloom","att","#ests","Durable Goods Orders","Durable Goods Orders",NA
21,"u.1","bloom","event","uncertainty","Change in Nonfarm Payrolls","Change in Nonfarm Payrolls",NA
22,"u.2","bloom","event","uncertainty","Initial Jobless Claims","Initial Jobless Claims",NA
