MSE;QLIKE;MODELS
Date;Date;Date
true;true;rv
gen.att.gen.att;gen.att.gen.att;gen_att
att.bench;att.bench;har
att.cslr;att.cslr;cslr_att
att.FX_0.95_MSE;att.FX_0.95_QLIKE;cslr_att_mem
att.KM_0.95_GR5_MSE;att.KM_0.95_GR5_QLIKE;cslr_att_km5
att.KM_0.95_GR10_MSE;att.KM_0.95_GR10_QLIKE;cslr_att_km10
att.KD_0.95_GR5_MSE;att.KD_0.95_GR5_QLIKE;cslr_att_kd5
att.KD_0.95_GR10_MSE;att.KD_0.95_GR10_QLIKE;cslr_att_kd10
att.lasso.mse;att.lasso.qli;lasso_att
att.rf.MSE;att.rf.QLIKE;rf_att
gen.pos.emo;gen.pos.emo;gen_pos_emo
pos.emo.cslr;pos.emo.cslr;cslr_pos_emo
pos.emo.FX_0.95_MSE;pos.emo.FX_0.95_QLIKE;cslr_pos_emo_mem
pos.emo.KM_0.95_GR5_MSE;pos.emo.KM_0.95_GR5_QLIKE;cslr_pos_emo_km5
pos.emo.KM_0.95_GR10_MSE;pos.emo.KM_0.95_GR10_QLIKE;cslr_pos_emo_km10
pos.emo.KD_0.95_GR5_MSE;pos.emo.KD_0.95_GR5_QLIKE;cslr_pos_emo_kd5
pos.emo.KD_0.95_GR10_MSE;pos.emo.KD_0.95_GR10_QLIKE;cslr_pos_emo_kd10
pos.emo.lasso.mse;pos.emo.lasso.qli;lasso_pos_emo
pos.emo.rf.MSE;pos.emo.rf.QLIKE;rf_pos_emo
gen.neg.emo;gen.neg.emo;gen_neg_emo
neg.emo.cslr;neg.emo.cslr;cslr_neg_emo
neg.emo.FX_0.95_MSE;neg.emo.FX_0.95_QLIKE;cslr_neg_emo_mem
neg.emo.KM_0.95_GR5_MSE;neg.emo.KM_0.95_GR5_QLIKE;cslr_neg_emo_km5
neg.emo.KM_0.95_GR10_MSE;neg.emo.KM_0.95_GR10_QLIKE;cslr_neg_emo_km10
neg.emo.KD_0.95_GR5_MSE;neg.emo.KD_0.95_GR5_QLIKE;cslr_neg_emo_kd5
neg.emo.KD_0.95_GR10_MSE;neg.emo.KD_0.95_GR10_QLIKE;cslr_neg_emo_kd10
neg.emo.lasso.mse;neg.emo.lasso.qli;lasso_neg_emo
neg.emo.rf.MSE;neg.emo.rf.QLIKE;rf_neg_emo
gen.pos.emo.gen.neg.emo;gen.pos.emo.gen.neg.emo;gen_posneg_emo
pos.emo.neg.emo.cslr;pos.emo.neg.emo.cslr;cslr_posneg_emo
pos.emo.neg.emo.FX_0.95_MSE;pos.emo.neg.emo.FX_0.95_QLIKE;cslr_posneg_emo_mem
pos.emo.neg.emo.KM_0.95_GR5_MSE;pos.emo.neg.emo.KM_0.95_GR5_QLIKE;cslr_posneg_emo_km5
pos.emo.neg.emo.KM_0.95_GR10_MSE;pos.emo.neg.emo.KM_0.95_GR10_QLIKE;cslr_posneg_emo_km10
pos.emo.neg.emo.KD_0.95_GR5_MSE;pos.emo.neg.emo.KD_0.95_GR5_QLIKE;cslr_posneg_emo_kd5
pos.emo.neg.emo.KD_0.95_GR10_MSE;pos.emo.neg.emo.KD_0.95_GR10_QLIKE;cslr_posneg_emo_kd10
pos.emo.neg.emo.lasso.mse;pos.emo.neg.emo.lasso.qli;lasso_posneg_emo
pos.emo.neg.emo.rf.MSE;pos.emo.neg.emo.rf.QLIKE;rf_posneg_emo
gen.pos.vad;gen.pos.vad;gen_pos_vad
pos.vad.cslr;pos.vad.cslr;cslr_pos_vad
pos.vad.FX_0.95_MSE;pos.vad.FX_0.95_QLIKE;cslr_pos_vad_mem
pos.vad.KM_0.95_GR5_MSE;pos.vad.KM_0.95_GR5_QLIKE;cslr_pos_vad_km5
pos.vad.KM_0.95_GR10_MSE;pos.vad.KM_0.95_GR10_QLIKE;cslr_pos_vad_km10
pos.vad.KD_0.95_GR5_MSE;pos.vad.KD_0.95_GR5_QLIKE;cslr_pos_vad_kd5
pos.vad.KD_0.95_GR10_MSE;pos.vad.KD_0.95_GR10_QLIKE;cslr_pos_vad_kd10
pos.vad.lasso.mse;pos.vad.lasso.qli;lasso_pos_vad
pos.vad.rf.MSE;pos.vad.rf.QLIKE;rf_pos_vad
gen.neg.vad;gen.neg.vad;gen_neg_vad
neg.vad.cslr;neg.vad.cslr;cslr_neg_vad
neg.vad.FX_0.95_MSE;neg.vad.FX_0.95_QLIKE;cslr_neg_vad_mem
neg.vad.KM_0.95_GR5_MSE;neg.vad.KM_0.95_GR5_QLIKE;cslr_neg_vad_km5
neg.vad.KM_0.95_GR10_MSE;neg.vad.KM_0.95_GR10_QLIKE;cslr_neg_vad_km10
neg.vad.KD_0.95_GR5_MSE;neg.vad.KD_0.95_GR5_QLIKE;cslr_neg_vad_kd5
neg.vad.KD_0.95_GR10_MSE;neg.vad.KD_0.95_GR10_QLIKE;cslr_neg_vad_kd10
